BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,TOTAL_INJURED,TOTAL_KILLED,PEDESTRIANS_INJURED,PEDESTRIANS_KILLED,CYCLIST_INJURED,CYCLIST_KILLED,MOTORIST_INJURED,MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME
QUEENS,11429.0,40.7153,-73.74267,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-24 09:20:00
BRONX,10468,40.859303,-73.89884,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Fire truck,2018-09-27 00:00:00
MANHATTAN,10019.0,40.76689,-73.99017,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Taxi,2018-09-25 10:55:00
MANHATTAN,10012.0,40.724693,-73.99419,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-22 16:30:00
MANHATTAN,10018.0,40.75834,-73.996414,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-24 01:35:00
MANHATTAN,10036,40.756035,-73.98695,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Taxi,2018-09-24 14:40:00
BROOKLYN,11211.0,40.71448,-73.94501,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-26 00:00:00
MANHATTAN,10002,40.72293,-73.98865,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-23 00:15:00
MANHATTAN,10003.0,40.73669,-73.99062,1.0,0.0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-30 21:20:00
BROOKLYN,11237.0,40.699238,-73.91429,0.0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Taxi,2018-09-26 23:40:00
MANHATTAN,10016.0,40.74788,-73.97543,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Taxi,2018-09-29 03:37:00
MANHATTAN,10033.0,40.84554,-73.93278,1.0,0.0,0,0,0,0,1,0,Unspecified,Taxi,2018-09-26 09:50:00
MANHATTAN,10034,40.863163,-73.91988,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-25 16:20:00
MANHATTAN,10029.0,40.797676,-73.93941,1.0,0.0,0,0,1,0,0,0,Unspecified,Taxi,2018-09-21 14:30:00
MANHATTAN,10018.0,40.75525,-73.998665,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-30 00:35:00
MANHATTAN,10031.0,40.82523,-73.94761,1.0,0.0,1,0,0,0,0,0,Unspecified,Taxi,2018-09-27 03:08:00
MANHATTAN,10013.0,40.726437,-74.00566,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi,2018-09-27 18:30:00
BROOKLYN,11226.0,40.63962,-73.95477,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-29 14:50:00
QUEENS,11104,40.733955,-73.92172,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-27 00:23:00
BROOKLYN,11213.0,40.679035,-73.938515,1.0,0.0,0,0,0,0,1,0,Unspecified,Taxi,2018-09-29 16:35:00
BROOKLYN,11230,40.615932,-73.95673,1.0,0.0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-28 19:39:00
QUEENS,11435,40.689785,-73.80954,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-23 14:45:00
MANHATTAN,10001.0,40.747143,-74.000854,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-27 21:48:00
MANHATTAN,10022.0,40.76155,-73.96659,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Taxi,2018-09-23 02:15:00
MANHATTAN,10011,40.732845,-73.995926,0.0,0.0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-30 21:50:00
BRONX,10472.0,40.834274,-73.87364,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-28 16:41:00
BRONX,10451.0,40.81761,-73.92776,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-29 18:13:00
BROOKLYN,11234,40.592815,-73.90808,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-28 15:17:00
MANHATTAN,10027,40.81574,-73.95456,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Taxi,2018-09-29 11:35:00
MANHATTAN,10013.0,40.71843,-74.000534,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Taxi,2018-09-25 10:50:00
MANHATTAN,10019,40.76711,-73.98173,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-27 13:00:00
MANHATTAN,10006.0,40.709766,-74.014694,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-22 12:11:00
MANHATTAN,10017.0,40.751457,-73.978165,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-28 17:23:00
MANHATTAN,10162,40.768875,-73.94898,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Ambulance,2018-09-27 22:30:00
MANHATTAN,10011.0,40.738552,-73.99969,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-30 20:22:00
BRONX,10456.0,40.833286,-73.914085,0.0,0.0,0,0,0,0,0,0,Oversized Vehicle,Ambulance,2018-09-23 21:56:00
MANHATTAN,10012,40.723423,-73.99962,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Taxi,2018-09-27 14:30:00
MANHATTAN,10029,40.784943,-73.946594,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-29 19:51:00
BROOKLYN,11208.0,40.672337,-73.87118,1.0,0.0,0,0,1,0,0,0,Traffic Control Disregarded,Taxi,2018-09-26 06:30:00
BROOKLYN,11238.0,40.686287,-73.9695,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-23 19:32:00
QUEENS,11372.0,40.75644,-73.87701,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-24 14:10:00
MANHATTAN,10028.0,40.775818,-73.946846,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-26 06:22:00
MANHATTAN,10037,40.812744,-73.937645,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-22 02:55:00
BRONX,10452.0,40.84518,-73.91417,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi,2018-09-21 13:31:00
MANHATTAN,10010.0,40.74303,-73.98917,0.0,0.0,0,0,0,0,0,0,Unspecified,Taxi,2018-09-24 10:40:00
QUEENS,11101,40.75117,-73.9152,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Taxi,2018-09-26 13:15:00
MANHATTAN,10032,40.835808,-73.949455,0.0,0.0,0,0,0,0,0,0,Tire Failure/Inadequate,Taxi,2018-09-29 23:00:00
BROOKLYN,11205,40.7024,-73.9605,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Taxi,2018-09-29 02:10:00
