BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
BROOKLYN,11238.0,40.680187,-73.967964,Driver Inattention/Distraction,Taxi,2018-08-10 21:00:00,August,21,Friday,10,No Damage,partly-cloudy
MANHATTAN,10016.0,40.744064,-73.987755,Failure to Yield Right-of-Way,Taxi,2018-08-02 10:18:00,August,10,Thursday,2,Injured or Killed,rain
MANHATTAN,10016.0,40.749374,-73.98387,Unspecified,Taxi,2018-08-17 09:45:00,August,9,Friday,17,No Damage,rain
MANHATTAN,10018.0,40.75619,-73.99057,Following Too Closely,Taxi,2018-08-25 14:15:00,August,14,Saturday,25,No Damage,clear
MANHATTAN,10017.0,40.749825,-73.972206,Passing or Lane Usage Improper,Taxi,2018-08-08 11:15:00,August,11,Wednesday,8,No Damage,rain
BRONX,10457.0,40.84764,-73.901,Driver Inattention/Distraction,Taxi,2018-08-27 12:15:00,August,12,Monday,27,Injured or Killed,clear
BROOKLYN,11208.0,40.680016,-73.87743,Unspecified,Taxi,2018-08-16 12:00:00,August,12,Thursday,16,No Damage,rain
BRONX,10456.0,40.834126,-73.916664,Traffic Control Disregarded,Taxi,2018-08-19 03:17:00,August,3,Sunday,19,No Damage,rain
QUEENS,11101.0,40.739857,-73.94285,Other Vehicular,Taxi,2018-08-23 21:20:00,August,21,Thursday,23,Injured or Killed,rain
MANHATTAN,11109.0,40.747105,-73.96709,Passing Too Closely,Taxi,2018-08-06 17:00:00,August,17,Monday,6,No Damage,clear
MANHATTAN,10001.0,40.74753,-73.98831,Driver Inattention/Distraction,Taxi,2018-08-07 14:05:00,August,14,Tuesday,7,No Damage,rain
MANHATTAN,10011.0,40.73637,-73.99447,Failure to Yield Right-of-Way,Taxi,2018-08-01 09:00:00,August,9,Wednesday,1,No Damage,rain
MANHATTAN,10012.0,40.729687,-73.99861,Driver Inattention/Distraction,Taxi,2018-07-31 00:49:00,July,0,Tuesday,31,Injured or Killed,partly-cloudy
MANHATTAN,10018.0,40.753716,-73.99308,Driver Inattention/Distraction,Taxi,2018-08-01 18:54:00,August,18,Wednesday,1,No Damage,rain
MANHATTAN,10017.0,40.75337,-73.974655,Driver Inattention/Distraction,Taxi,2018-08-02 19:15:00,August,19,Thursday,2,No Damage,rain
QUEENS,11103.0,40.763893,-73.915,Failure to Yield Right-of-Way,Taxi,2018-08-01 19:40:00,August,19,Wednesday,1,Injured or Killed,rain
MANHATTAN,10039.0,40.822933,-73.93813,Passenger Distraction,Taxi,2018-07-31 15:30:00,July,15,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10002.0,40.71997,-73.992905,Failure to Yield Right-of-Way,Taxi,2018-08-01 23:40:00,August,23,Wednesday,1,No Damage,rain
BROOKLYN,11219.0,40.64091,-73.994316,Unspecified,Taxi,2018-07-30 11:13:00,July,11,Monday,30,No Damage,rain
MANHATTAN,10002.0,40.723648,-73.99103,Following Too Closely,Taxi,2018-07-31 12:30:00,July,12,Tuesday,31,Injured or Killed,partly-cloudy
BROOKLYN,11201.0,40.69166,-73.981636,Driver Inattention/Distraction,Taxi,2018-07-31 10:04:00,July,10,Tuesday,31,No Damage,partly-cloudy
BROOKLYN,11221.0,40.687294,-73.934616,Driver Inattention/Distraction,Fire truck,2018-08-01 16:19:00,August,16,Wednesday,1,No Damage,rain
BROOKLYN,11233.0,40.676647,-73.91647,Aggressive Driving/Road Rage,Taxi,2018-07-30 11:15:00,July,11,Monday,30,No Damage,rain
MANHATTAN,10016.0,40.738796,-73.97716,Driver Inattention/Distraction,Taxi,2018-08-01 12:30:00,August,12,Wednesday,1,No Damage,rain
BRONX,10475.0,40.870552,-73.82622,View Obstructed/Limited,Ambulance,2018-08-02 23:24:00,August,23,Thursday,2,No Damage,rain
MANHATTAN,10022.0,40.759785,-73.976295,Unspecified,Taxi,2018-08-01 12:00:00,August,12,Wednesday,1,No Damage,rain
QUEENS,11104.0,40.743156,-73.91871,Driver Inattention/Distraction,Taxi,2018-08-01 07:05:00,August,7,Wednesday,1,No Damage,rain
MANHATTAN,10021.0,40.765545,-73.95471,Driver Inattention/Distraction,Taxi,2018-08-01 22:26:00,August,22,Wednesday,1,No Damage,rain
