BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
MANHATTAN,10282.0,40.717186,-74.0129,Driver Inattention/Distraction,Taxi,2018-08-28 11:45:00,August,11,Tuesday,28,No Damage,rain
BRONX,10460.0,40.84243,-73.89015,Passing Too Closely,Ambulance,2018-09-05 23:00:00,September,23,Wednesday,5,No Damage,rain
MANHATTAN,10039.0,40.821964,-73.93583,Driver Inattention/Distraction,Taxi,2018-09-12 17:20:00,September,17,Wednesday,12,Injured or Killed,rain
BROOKLYN,11238.0,40.68175,-73.96748,Driver Inattention/Distraction,Taxi,2018-08-29 02:20:00,August,2,Wednesday,29,No Damage,rain
BROOKLYN,11249.0,40.721317,-73.95614,Other Vehicular,Taxi,2018-09-15 19:45:00,September,19,Saturday,15,No Damage,partly-cloudy
MANHATTAN,10021.0,40.771145,-73.968,Driver Inattention/Distraction,Taxi,2018-09-02 14:47:00,September,14,Sunday,2,No Damage,partly-cloudy
MANHATTAN,10021.0,40.76685,-73.95376,Unspecified,Taxi,2018-09-04 13:15:00,September,13,Tuesday,4,No Damage,rain
MANHATTAN,10035.0,40.797966,-73.936,Drugs (illegal),Taxi,2018-09-17 10:55:00,September,10,Monday,17,No Damage,rain
MANHATTAN,10009.0,40.719723,-73.975,Outside Car Distraction,Taxi,2018-08-29 01:33:00,August,1,Wednesday,29,No Damage,rain
MANHATTAN,10013.0,40.717777,-74.00017,Passing or Lane Usage Improper,Ambulance,2018-09-12 14:00:00,September,14,Wednesday,12,No Damage,rain
BROOKLYN,11222.0,40.728558,-73.95353,Passing Too Closely,Taxi,2018-08-30 18:00:00,August,18,Thursday,30,No Damage,rain
MANHATTAN,10022.0,40.76104,-73.97538,Turning Improperly,Taxi,2018-08-28 11:15:00,August,11,Tuesday,28,No Damage,rain
MANHATTAN,10021.0,40.77437,-73.963554,Driver Inattention/Distraction,Taxi,2018-09-17 10:18:00,September,10,Monday,17,No Damage,rain
BRONX,10467.0,40.879578,-73.879,Unspecified,Ambulance,2018-09-10 13:40:00,September,13,Monday,10,No Damage,rain
BROOKLYN,11242.0,40.696033,-73.98453,Passing Too Closely,Taxi,2018-09-02 18:30:00,September,18,Sunday,2,No Damage,partly-cloudy
MANHATTAN,10022.0,40.757965,-73.97128,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-08-28 17:00:00,August,17,Tuesday,28,Injured or Killed,rain
MANHATTAN,10036.0,40.76099,-73.99077,Unspecified,Taxi,2018-09-09 01:00:00,September,1,Sunday,9,No Damage,rain
MANHATTAN,10016.0,40.743263,-73.98202,Driver Inattention/Distraction,Taxi,2018-08-29 16:43:00,August,16,Wednesday,29,No Damage,rain
MANHATTAN,10037.0,40.81653,-73.93488,Driver Inattention/Distraction,Taxi,2018-09-04 11:35:00,September,11,Tuesday,4,No Damage,rain
MANHATTAN,10036.0,40.7603,-73.99499,Oversized Vehicle,Taxi,2018-09-20 10:30:00,September,10,Thursday,20,No Damage,rain
BROOKLYN,11210.0,40.618977,-73.951225,Driver Inattention/Distraction,Taxi,2018-09-06 08:40:00,September,8,Thursday,6,No Damage,rain
MANHATTAN,10013.0,40.722786,-74.00966,Failure to Yield Right-of-Way,Taxi,2018-09-12 17:36:00,September,17,Wednesday,12,No Damage,rain
STATEN ISLAND,10314.0,40.59981,-74.178246,Unspecified,Fire truck,2018-09-18 10:28:00,September,10,Tuesday,18,No Damage,rain
MANHATTAN,10013.0,40.71667,-74.0042,Driver Inattention/Distraction,Taxi,2018-09-12 21:13:00,September,21,Wednesday,12,No Damage,rain
MANHATTAN,10038.0,40.707417,-74.00107,Driver Inattention/Distraction,Taxi,2018-09-06 21:30:00,September,21,Thursday,6,No Damage,rain
QUEENS,11101.0,40.739674,-73.934586,Driver Inattention/Distraction,Taxi,2018-09-07 01:06:00,September,1,Friday,7,No Damage,rain
QUEENS,11101.0,40.741623,-73.95422,Following Too Closely,Taxi,2018-09-10 23:20:00,September,23,Monday,10,Injured or Killed,rain
MANHATTAN,10021.0,40.773136,-73.966545,Unspecified,Taxi,2018-09-17 17:30:00,September,17,Monday,17,No Damage,rain
MANHATTAN,10014.0,40.733604,-74.00287,Unsafe Lane Changing,Taxi,2018-08-31 21:47:00,August,21,Friday,31,No Damage,rain
MANHATTAN,10065.0,40.761486,-73.96062,Driver Inattention/Distraction,Taxi,2018-08-28 23:51:00,August,23,Tuesday,28,No Damage,rain
BROOKLYN,11211.0,40.732613,-73.925156,Driver Inattention/Distraction,Taxi,2018-09-11 11:00:00,September,11,Tuesday,11,Injured or Killed,rain
MANHATTAN,10017.0,40.754154,-73.9804,Unsafe Lane Changing,Taxi,2018-09-21 18:45:00,September,18,Friday,21,No Damage,rain
BRONX,10468.0,40.845108,-73.913025,Unspecified,Taxi,2018-09-05 06:46:00,September,6,Wednesday,5,Injured or Killed,rain
MANHATTAN,11109.0,40.747272,-73.96673,Passing or Lane Usage Improper,Taxi,2018-08-29 19:00:00,August,19,Wednesday,29,No Damage,rain
BROOKLYN,11211.0,40.712276,-73.96185,Passing Too Closely,Ambulance,2018-09-01 12:10:00,September,12,Saturday,1,No Damage,partly-cloudy
MANHATTAN,10035.0,40.804676,-73.93223,Unspecified,Taxi,2018-09-17 07:05:00,September,7,Monday,17,No Damage,rain
MANHATTAN,10017.0,40.751926,-73.977196,Unspecified,Taxi,2018-09-16 21:25:00,September,21,Sunday,16,No Damage,clear
BROOKLYN,11231.0,40.68892,-73.99915,Driver Inattention/Distraction,Taxi,2018-09-10 02:15:00,September,2,Monday,10,Injured or Killed,rain
BRONX,10456.0,40.8231,-73.903,Driver Inattention/Distraction,Taxi,2018-08-30 19:03:00,August,19,Thursday,30,No Damage,rain
BROOKLYN,11211.0,40.714104,-73.95322,Passing Too Closely,Taxi,2018-08-31 23:31:00,August,23,Friday,31,No Damage,rain
MANHATTAN,10007.0,40.71523,-74.01334,Following Too Closely,Taxi,2018-09-07 17:50:00,September,17,Friday,7,Injured or Killed,rain
MANHATTAN,10017.0,40.755928,-73.97491,Failure to Yield Right-of-Way,Taxi,2018-09-02 16:30:00,September,16,Sunday,2,No Damage,partly-cloudy
BROOKLYN,11219.0,40.641727,-73.99265,Unspecified,Ambulance,2018-09-16 15:19:00,September,15,Sunday,16,No Damage,clear
MANHATTAN,10002.0,40.71777,-73.9838,Driver Inattention/Distraction,Taxi,2018-09-05 18:45:00,September,18,Wednesday,5,No Damage,rain
MANHATTAN,10016.0,40.74518,-73.982735,Driver Inattention/Distraction,Taxi,2018-09-06 14:20:00,September,14,Thursday,6,No Damage,rain
MANHATTAN,10013.0,40.71618,-74.00256,Driver Inattention/Distraction,Taxi,2018-09-13 16:52:00,September,16,Thursday,13,No Damage,rain
MANHATTAN,10027.0,40.815113,-73.95501,Driver Inattention/Distraction,Taxi,2018-09-04 14:30:00,September,14,Tuesday,4,No Damage,rain
MANHATTAN,10013.0,40.722828,-74.00473,Unspecified,Taxi,2018-09-02 01:49:00,September,1,Sunday,2,No Damage,partly-cloudy
BROOKLYN,11233.0,40.67069,-73.91703,Passing or Lane Usage Improper,Taxi,2018-09-18 21:40:00,September,21,Tuesday,18,Injured or Killed,rain
QUEENS,11101.0,40.74198,-73.94643,Unspecified,Taxi,2018-09-02 14:30:00,September,14,Sunday,2,No Damage,partly-cloudy
MANHATTAN,10025.0,40.789734,-73.9661,Driver Inattention/Distraction,Taxi,2018-09-06 12:53:00,September,12,Thursday,6,No Damage,rain
BROOKLYN,11203.0,40.63899,-73.93292,Unspecified,Taxi,2018-09-18 08:10:00,September,8,Tuesday,18,No Damage,rain
MANHATTAN,10001.0,40.74666,-73.990074,Driver Inattention/Distraction,Taxi,2018-09-21 18:40:00,September,18,Friday,21,No Damage,rain
BROOKLYN,11207.0,40.66322,-73.893654,Unspecified,Taxi,2018-09-03 14:20:00,September,14,Monday,3,No Damage,rain
MANHATTAN,10019.0,40.76286,-73.98941,Backing Unsafely,Taxi,2018-09-08 02:01:00,September,2,Saturday,8,No Damage,rain
MANHATTAN,10007.0,40.71523,-74.01334,Failure to Yield Right-of-Way,Taxi,2018-09-14 19:20:00,September,19,Friday,14,Injured or Killed,rain
MANHATTAN,10013.0,40.720177,-74.002975,Following Too Closely,Taxi,2018-09-06 12:00:00,September,12,Thursday,6,No Damage,rain
MANHATTAN,10001.0,40.74835,-73.994064,Unspecified,Taxi,2018-09-14 22:40:00,September,22,Friday,14,No Damage,rain
BROOKLYN,11231.0,40.678104,-73.99091,Driver Inattention/Distraction,Taxi,2018-09-17 11:00:00,September,11,Monday,17,No Damage,rain
MANHATTAN,10002.0,40.72224,-73.9863,Unspecified,Taxi,2018-09-13 23:00:00,September,23,Thursday,13,No Damage,rain
MANHATTAN,10013.0,40.719784,-73.998535,Passing or Lane Usage Improper,Taxi,2018-08-30 22:19:00,August,22,Thursday,30,No Damage,rain
MANHATTAN,10022.0,40.75738,-73.966705,Driver Inattention/Distraction,Taxi,2018-09-16 07:45:00,September,7,Sunday,16,No Damage,clear
MANHATTAN,10019.0,40.76229,-73.986115,Driver Inattention/Distraction,Taxi,2018-08-29 20:50:00,August,20,Wednesday,29,No Damage,rain
BRONX,10473.0,40.815613,-73.86007,Turning Improperly,Taxi,2018-09-09 00:30:00,September,0,Sunday,9,No Damage,rain
MANHATTAN,10019.0,40.76858,-73.987274,Unsafe Lane Changing,Taxi,2018-09-03 01:57:00,September,1,Monday,3,No Damage,rain
MANHATTAN,10001.0,40.752293,-73.99341,Driver Inattention/Distraction,Taxi,2018-09-07 04:10:00,September,4,Friday,7,No Damage,rain
MANHATTAN,10000.0,40.711746,-74.006996,Driver Inattention/Distraction,Taxi,2018-09-06 14:30:00,September,14,Thursday,6,Injured or Killed,rain
MANHATTAN,10003.0,40.724537,-73.989426,Driver Inattention/Distraction,Taxi,2018-09-12 23:30:00,September,23,Wednesday,12,No Damage,rain
MANHATTAN,10027.0,40.81316,-73.950356,Failure to Yield Right-of-Way,Taxi,2018-08-30 12:28:00,August,12,Thursday,30,Injured or Killed,rain
BROOKLYN,11221.0,40.693573,-73.92275,Passing Too Closely,Taxi,2018-09-12 08:00:00,September,8,Wednesday,12,No Damage,rain
QUEENS,11361.0,40.763508,-73.77193,Cell Phone (hand-Held),Taxi,2018-09-20 23:10:00,September,23,Thursday,20,No Damage,rain
MANHATTAN,10001.0,40.752563,-73.99319,Driver Inattention/Distraction,Taxi,2018-09-12 06:35:00,September,6,Wednesday,12,No Damage,rain
MANHATTAN,10022.0,40.756496,-73.97237,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-18 10:15:00,September,10,Tuesday,18,Injured or Killed,rain
BRONX,10458.0,40.86235,-73.894066,View Obstructed/Limited,Taxi,2018-08-30 17:21:00,August,17,Thursday,30,Injured or Killed,rain
MANHATTAN,10178.0,40.74708,-73.98135,Driver Inattention/Distraction,Taxi,2018-09-09 21:40:00,September,21,Sunday,9,No Damage,rain
BROOKLYN,11201.0,40.695908,-73.98322,Unsafe Lane Changing,Taxi,2018-09-11 10:30:00,September,10,Tuesday,11,No Damage,rain
MANHATTAN,10027.0,40.80659,-73.9506,Driver Inattention/Distraction,Taxi,2018-09-14 20:07:00,September,20,Friday,14,No Damage,rain
MANHATTAN,10012.0,40.725082,-73.99534,Unspecified,Taxi,2018-09-21 19:30:00,September,19,Friday,21,No Damage,rain
QUEENS,11106.0,40.764347,-73.92347,Driver Inattention/Distraction,Ambulance,2018-09-21 20:41:00,September,20,Friday,21,No Damage,rain
MANHATTAN,10011.0,40.743423,-73.999855,Passing Too Closely,Taxi,2018-09-18 21:10:00,September,21,Tuesday,18,Injured or Killed,rain
MANHATTAN,10019.0,40.761124,-73.98533,Driver Inattention/Distraction,Fire truck,2018-09-16 12:12:00,September,12,Sunday,16,No Damage,clear
BRONX,10475.0,40.869118,-73.83048,Unspecified,Ambulance,2018-09-03 13:35:00,September,13,Monday,3,No Damage,rain
MANHATTAN,10014.0,40.72843,-74.00716,Unspecified,Taxi,2018-08-30 11:57:00,August,11,Thursday,30,No Damage,rain
MANHATTAN,10012.0,40.73052,-74.000046,Aggressive Driving/Road Rage,Taxi,2018-09-09 05:14:00,September,5,Sunday,9,No Damage,rain
MANHATTAN,10010.0,40.739643,-73.98506,Driver Inexperience,Taxi,2018-09-16 23:15:00,September,23,Sunday,16,Injured or Killed,clear
MANHATTAN,10032.0,40.83918,-73.94115,Unspecified,Taxi,2018-09-04 11:00:00,September,11,Tuesday,4,No Damage,rain
BROOKLYN,11216.0,40.680214,-73.94628,Driver Inattention/Distraction,Taxi,2018-09-14 06:20:00,September,6,Friday,14,Injured or Killed,rain
QUEENS,11368.0,40.73533,-73.86111,Backing Unsafely,Taxi,2018-09-03 12:00:00,September,12,Monday,3,No Damage,rain
MANHATTAN,10030.0,40.819096,-73.94093,Driver Inattention/Distraction,Taxi,2018-09-05 16:00:00,September,16,Wednesday,5,Injured or Killed,rain
BROOKLYN,11205.0,40.691326,-73.96647,Other Vehicular,Taxi,2018-09-07 18:00:00,September,18,Friday,7,No Damage,rain
MANHATTAN,10022.0,40.757454,-73.95571,Other Vehicular,Taxi,2018-09-19 00:21:00,September,0,Wednesday,19,Injured or Killed,rain
QUEENS,11104.0,40.743156,-73.91871,Driver Inattention/Distraction,Taxi,2018-09-10 16:20:00,September,16,Monday,10,No Damage,rain
MANHATTAN,10033.0,40.847996,-73.9347,Driver Inattention/Distraction,Taxi,2018-09-10 15:05:00,September,15,Monday,10,No Damage,rain
MANHATTAN,10016.0,40.745686,-73.97213,Driver Inattention/Distraction,Taxi,2018-08-31 21:50:00,August,21,Friday,31,No Damage,rain
MANHATTAN,10016.0,40.748302,-73.97835,Following Too Closely,Taxi,2018-09-17 19:16:00,September,19,Monday,17,No Damage,rain
MANHATTAN,10027.0,40.812622,-73.96302,Traffic Control Disregarded,Taxi,2018-08-29 00:35:00,August,0,Wednesday,29,No Damage,rain
MANHATTAN,10023.0,40.777855,-73.981964,Following Too Closely,Taxi,2018-09-18 10:40:00,September,10,Tuesday,18,No Damage,rain
BROOKLYN,11203.0,40.65743,-73.9451,Passenger Distraction,Ambulance,2018-09-04 19:17:00,September,19,Tuesday,4,Injured or Killed,rain
BROOKLYN,11232.0,40.665882,-73.99642,Passing or Lane Usage Improper,Taxi,2018-09-06 11:00:00,September,11,Thursday,6,No Damage,rain
BRONX,10465.0,40.798256,-73.82744,Following Too Closely,Taxi,2018-08-30 10:04:00,August,10,Thursday,30,Injured or Killed,rain
QUEENS,11413.0,40.65939,-73.76581,Unspecified,Taxi,2018-08-30 14:00:00,August,14,Thursday,30,No Damage,rain
MANHATTAN,10001.0,40.749706,-73.99157,Unspecified,Taxi,2018-09-01 11:15:00,September,11,Saturday,1,No Damage,partly-cloudy
MANHATTAN,10035.0,40.8037,-73.93582,Turning Improperly,Taxi,2018-09-20 14:00:00,September,14,Thursday,20,No Damage,rain
MANHATTAN,10031.0,40.817593,-73.95319,Unspecified,Taxi,2018-09-03 05:40:00,September,5,Monday,3,Injured or Killed,rain
MANHATTAN,10016.0,40.751915,-73.98114,Unspecified,Taxi,2018-08-28 03:00:00,August,3,Tuesday,28,No Damage,rain
BROOKLYN,11226.0,40.654068,-73.96177,Unspecified,Taxi,2018-09-10 16:51:00,September,16,Monday,10,No Damage,rain
BROOKLYN,11217.0,40.679226,-73.981834,Failure to Keep Right,Taxi,2018-08-31 22:00:00,August,22,Friday,31,No Damage,rain
BROOKLYN,11219.0,40.635025,-73.99213,Unsafe Lane Changing,Taxi,2018-08-31 18:15:00,August,18,Friday,31,No Damage,rain
MANHATTAN,10024.0,40.783577,-73.971306,Other Vehicular,Taxi,2018-09-18 19:24:00,September,19,Tuesday,18,No Damage,rain
MANHATTAN,10029.0,40.79347,-73.93726,Driver Inattention/Distraction,Taxi,2018-09-15 21:15:00,September,21,Saturday,15,No Damage,partly-cloudy
MANHATTAN,10025.0,40.80111,-73.965225,Driver Inattention/Distraction,Taxi,2018-09-05 16:16:00,September,16,Wednesday,5,No Damage,rain
MANHATTAN,10002.0,40.724136,-73.992615,Unspecified,Taxi,2018-09-08 09:30:00,September,9,Saturday,8,No Damage,rain
QUEENS,11371.0,40.77162,-73.87477,Outside Car Distraction,Taxi,2018-09-15 05:15:00,September,5,Saturday,15,No Damage,partly-cloudy
MANHATTAN,10018.0,40.75834,-73.996414,Passing Too Closely,Taxi,2018-09-04 12:30:00,September,12,Tuesday,4,No Damage,rain
QUEENS,11411.0,40.690914,-73.72819,Backing Unsafely,Taxi,2018-08-29 18:50:00,August,18,Wednesday,29,No Damage,rain
MANHATTAN,10029.0,40.797447,-73.94671,Unspecified,Taxi,2018-08-12 17:33:00,August,17,Sunday,12,No Damage,rain
BROOKLYN,11236.0,40.647182,-73.90748,Backing Unsafely,Taxi,2018-09-10 08:10:00,September,8,Monday,10,No Damage,rain
QUEENS,11429.0,40.714157,-73.74774,Unspecified,Taxi,2018-09-18 07:50:00,September,7,Tuesday,18,No Damage,rain
MANHATTAN,10037.0,40.818516,-73.93765,Failure to Yield Right-of-Way,Taxi,2018-09-11 00:00:00,September,0,Tuesday,11,Injured or Killed,rain
MANHATTAN,10016.0,40.741405,-73.98337,Driver Inattention/Distraction,Taxi,2018-09-10 10:25:00,September,10,Monday,10,No Damage,rain
MANHATTAN,10031.0,40.82523,-73.94761,Reaction to Uninvolved Vehicle,Taxi,2018-08-28 21:00:00,August,21,Tuesday,28,No Damage,rain
MANHATTAN,10029.0,40.796074,-73.94349,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,2018-09-13 23:38:00,September,23,Thursday,13,Injured or Killed,rain
MANHATTAN,10035.0,40.8037,-73.93582,Unspecified,Taxi,2018-09-16 12:04:00,September,12,Sunday,16,No Damage,clear
MANHATTAN,10012.0,40.72455,-74.00194,Driver Inattention/Distraction,Taxi,2018-09-02 16:49:00,September,16,Sunday,2,Injured or Killed,partly-cloudy
MANHATTAN,10016.0,40.74608,-73.974945,Driver Inattention/Distraction,Taxi,2018-09-02 21:28:00,September,21,Sunday,2,No Damage,partly-cloudy
MANHATTAN,10011.0,40.74581,-74.00554,Passing or Lane Usage Improper,Taxi,2018-09-16 22:50:00,September,22,Sunday,16,No Damage,clear
BROOKLYN,11213.0,40.671185,-73.94204,Drugs (illegal),Taxi,2018-08-31 22:10:00,August,22,Friday,31,No Damage,rain
MANHATTAN,10128.0,40.782314,-73.94851,Driver Inattention/Distraction,Taxi,2018-09-10 10:45:00,September,10,Monday,10,No Damage,rain
MANHATTAN,10018.0,40.752853,-73.99299,Unsafe Lane Changing,Taxi,2018-09-12 08:35:00,September,8,Wednesday,12,No Damage,rain
MANHATTAN,10036.0,40.764626,-73.99555,Driver Inattention/Distraction,Taxi,2018-09-13 22:47:00,September,22,Thursday,13,No Damage,rain
MANHATTAN,10121.0,40.750015,-73.991356,Passing or Lane Usage Improper,Taxi,2018-09-16 19:30:00,September,19,Sunday,16,No Damage,clear
MANHATTAN,10013.0,40.719395,-74.00189,Failure to Yield Right-of-Way,Taxi,2018-09-08 07:30:00,September,7,Saturday,8,Injured or Killed,rain
MANHATTAN,10019.0,40.76432,-73.9772,Oversized Vehicle,Taxi,2018-09-05 08:23:00,September,8,Wednesday,5,No Damage,rain
MANHATTAN,10030.0,40.822834,-73.941925,Driver Inattention/Distraction,Taxi,2018-09-10 22:05:00,September,22,Monday,10,Injured or Killed,rain
MANHATTAN,10014.0,40.738754,-74.0055,Unsafe Speed,Taxi,2018-09-07 08:45:00,September,8,Friday,7,No Damage,rain
BROOKLYN,11213.0,40.677483,-73.93033,Pavement Slippery,Taxi,2018-09-12 19:05:00,September,19,Wednesday,12,No Damage,rain
MANHATTAN,10128.0,40.78017,-73.9551,Failure to Yield Right-of-Way,Taxi,2018-08-29 23:09:00,August,23,Wednesday,29,Injured or Killed,rain
QUEENS,11415.0,40.717014,-73.82971,Unsafe Speed,Taxi,2018-09-10 07:20:00,September,7,Monday,10,Injured or Killed,rain
MANHATTAN,10035.0,40.76285,-73.967735,Driver Inattention/Distraction,Taxi,2018-08-28 22:00:00,August,22,Tuesday,28,No Damage,rain
MANHATTAN,10017.0,40.75144,-73.97397,Passenger Distraction,Taxi,2018-09-20 09:20:00,September,9,Thursday,20,No Damage,rain
MANHATTAN,10032.0,40.835484,-73.9494,Unspecified,Taxi,2018-09-10 15:32:00,September,15,Monday,10,No Damage,rain
MANHATTAN,10001.0,40.752052,-74.000984,Passing Too Closely,Taxi,2018-09-12 21:39:00,September,21,Wednesday,12,No Damage,rain
BRONX,10452.0,40.8313,-73.92657,Driver Inattention/Distraction,Taxi,2018-09-18 10:45:00,September,10,Tuesday,18,No Damage,rain
MANHATTAN,10009.0,40.729725,-73.980865,Driver Inattention/Distraction,Taxi,2018-09-02 04:11:00,September,4,Sunday,2,Injured or Killed,partly-cloudy
BROOKLYN,11238.0,40.681427,-73.95705,Alcohol Involvement,Taxi,2018-08-31 23:25:00,August,23,Friday,31,No Damage,rain
QUEENS,11377.0,40.756996,-73.90784,Driver Inattention/Distraction,Taxi,2018-09-10 14:00:00,September,14,Monday,10,No Damage,rain
BROOKLYN,11233.0,40.67308,-73.91124,Passing Too Closely,Taxi,2018-09-20 08:56:00,September,8,Thursday,20,No Damage,rain
BRONX,10457.0,40.85391,-73.89109,Backing Unsafely,Ambulance,2018-09-07 14:50:00,September,14,Friday,7,No Damage,rain
MANHATTAN,10010.0,40.74026,-73.990524,Other Vehicular,Taxi,2018-09-15 01:23:00,September,1,Saturday,15,No Damage,partly-cloudy
MANHATTAN,10013.0,40.719837,-74.005196,Unsafe Lane Changing,Taxi,2018-09-20 12:30:00,September,12,Thursday,20,No Damage,rain
MANHATTAN,10023.0,40.77929,-73.98114,Other Vehicular,Taxi,2018-08-29 22:15:00,August,22,Wednesday,29,Injured or Killed,rain
MANHATTAN,10019.0,40.761093,-73.98327,Unspecified,Taxi,2018-09-14 14:40:00,September,14,Friday,14,No Damage,rain
MANHATTAN,10016.0,40.75028,-73.98113,Passing or Lane Usage Improper,Taxi,2018-09-05 09:50:00,September,9,Wednesday,5,No Damage,rain
MANHATTAN,10001.0,40.752644,-74.00428,Passing Too Closely,Taxi,2018-09-05 06:30:00,September,6,Wednesday,5,No Damage,rain
MANHATTAN,10001.0,40.75211,-74.004654,Driver Inattention/Distraction,Taxi,2018-09-20 22:04:00,September,22,Thursday,20,No Damage,rain
QUEENS,11356.0,40.78167,-73.83076,Failure to Yield Right-of-Way,Taxi,2018-08-31 16:06:00,August,16,Friday,31,No Damage,rain
MANHATTAN,10016.0,40.74701,-73.977196,Driver Inexperience,Taxi,2018-08-28 00:20:00,August,0,Tuesday,28,No Damage,rain
MANHATTAN,10011.0,40.742226,-73.99702,Driver Inattention/Distraction,Taxi,2018-09-10 06:28:00,September,6,Monday,10,No Damage,rain
BRONX,10454.0,40.80674,-73.924446,Following Too Closely,Taxi,2018-09-06 14:30:00,September,14,Thursday,6,No Damage,rain
MANHATTAN,10021.0,40.770477,-73.96639,Driver Inattention/Distraction,Taxi,2018-09-12 20:29:00,September,20,Wednesday,12,No Damage,rain
MANHATTAN,10036.0,40.75898,-73.99595,Turning Improperly,Taxi,2018-09-15 22:45:00,September,22,Saturday,15,No Damage,partly-cloudy
MANHATTAN,10013.0,40.719868,-73.99527,Driver Inexperience,Taxi,2018-09-13 09:50:00,September,9,Thursday,13,No Damage,rain
BROOKLYN,11220.0,40.642174,-74.02064,Unspecified,Taxi,2018-09-07 23:35:00,September,23,Friday,7,Injured or Killed,rain
MANHATTAN,10035.0,40.797478,-73.93684,View Obstructed/Limited,Ambulance,2018-08-30 14:30:00,August,14,Thursday,30,No Damage,rain
BRONX,10465.0,40.798256,-73.82744,Following Too Closely,Taxi,2018-09-04 07:35:00,September,7,Tuesday,4,No Damage,rain
BROOKLYN,11206.0,40.694637,-73.949066,Driver Inattention/Distraction,Taxi,2018-09-16 03:10:00,September,3,Sunday,16,No Damage,clear
QUEENS,11432.0,40.71375,-73.7946,Unspecified,Taxi,2018-09-11 04:30:00,September,4,Tuesday,11,No Damage,rain
MANHATTAN,10033.0,40.847248,-73.93687,Unspecified,Taxi,2018-09-13 22:59:00,September,22,Thursday,13,No Damage,rain
BROOKLYN,11211.0,40.715305,-73.96044,Failure to Yield Right-of-Way,Ambulance,2018-09-17 14:00:00,September,14,Monday,17,No Damage,rain
MANHATTAN,10018.0,40.750557,-73.98372,Driver Inattention/Distraction,Taxi,2018-09-13 09:26:00,September,9,Thursday,13,No Damage,rain
MANHATTAN,10005.0,40.70638,-74.009514,Passenger Distraction,Taxi,2018-08-29 22:00:00,August,22,Wednesday,29,Injured or Killed,rain
QUEENS,11377.0,40.753284,-73.90691,Driver Inattention/Distraction,Taxi,2018-09-13 06:45:00,September,6,Thursday,13,No Damage,rain
QUEENS,11374.0,40.73632,-73.85631,Following Too Closely,Taxi,2018-09-03 17:51:00,September,17,Monday,3,No Damage,rain
QUEENS,11413.0,40.678295,-73.74691,Unspecified,Ambulance,2018-08-28 12:00:00,August,12,Tuesday,28,No Damage,rain
MANHATTAN,10030.0,40.820293,-73.94378,Unspecified,Taxi,2018-09-06 22:55:00,September,22,Thursday,6,Injured or Killed,rain
MANHATTAN,10019.0,40.76432,-73.9772,Other Vehicular,Taxi,2018-09-18 17:00:00,September,17,Tuesday,18,No Damage,rain
BRONX,10451.0,40.816956,-73.92296,Unspecified,Taxi,2018-08-29 16:26:00,August,16,Wednesday,29,No Damage,rain
QUEENS,11428.0,40.71772,-73.737915,Unspecified,Taxi,2018-09-10 14:50:00,September,14,Monday,10,No Damage,rain
MANHATTAN,10022.0,40.7606,-73.96434,Driver Inattention/Distraction,Taxi,2018-08-30 04:00:00,August,4,Thursday,30,No Damage,rain
MANHATTAN,10032.0,40.847897,-73.94523,Unspecified,Taxi,2018-09-06 19:30:00,September,19,Thursday,6,No Damage,rain
MANHATTAN,10019.0,40.76588,-73.99464,Driver Inattention/Distraction,Taxi,2018-09-20 23:43:00,September,23,Thursday,20,No Damage,rain
MANHATTAN,10001.0,40.75202,-74.00473,Passing Too Closely,Taxi,2018-09-14 11:15:00,September,11,Friday,14,No Damage,rain
BRONX,10452.0,40.828114,-73.93107,Unsafe Lane Changing,Taxi,2018-09-04 14:30:00,September,14,Tuesday,4,No Damage,rain
MANHATTAN,10001.0,40.749706,-73.99157,Failure to Yield Right-of-Way,Taxi,2018-09-03 00:30:00,September,0,Monday,3,No Damage,rain
BROOKLYN,11236.0,40.64208,-73.91967,Unsafe Lane Changing,Taxi,2018-09-14 13:26:00,September,13,Friday,14,No Damage,rain
BROOKLYN,11249.0,40.704254,-73.96722,Driver Inattention/Distraction,Ambulance,2018-09-05 11:10:00,September,11,Wednesday,5,No Damage,rain
MANHATTAN,10001.0,40.7491,-73.99201,Driver Inattention/Distraction,Taxi,2018-09-06 13:54:00,September,13,Thursday,6,No Damage,rain
MANHATTAN,10018.0,40.75341,-73.98661,Reaction to Uninvolved Vehicle,Taxi,2018-09-13 02:30:00,September,2,Thursday,13,No Damage,rain
MANHATTAN,10034.0,40.867817,-73.92363,Traffic Control Disregarded,Taxi,2018-09-18 21:50:00,September,21,Tuesday,18,No Damage,rain
MANHATTAN,10034.0,40.87225,-73.919464,Unspecified,Taxi,2018-09-18 13:44:00,September,13,Tuesday,18,No Damage,rain
MANHATTAN,10022.0,40.75928,-73.967354,Driver Inattention/Distraction,Taxi,2018-09-04 00:01:00,September,0,Tuesday,4,No Damage,rain
